,Date,Time,Level,Salinity
IN04,1/3/2020,0:00,-1.25,15.19
IN04,2/3/2020,0:00,-1.32,13.03
IN04,3/3/2020,0:00,-1.31,12.19
IN04,4/3/2020,0:00,-1.35,12.56
IN04,5/3/2020,0:00,-1.53,11.16
IN04,6/3/2020,0:00,-1.79,9.8
IN04,9/3/2020,0:00,-1.96,9.84
IN04,10/3/2020,0:00,-1.71,10.92
IN04,11/3/2020,0:00,-1.47,11.06
IN04,12/3/2020,12:00,-1.34,12.61
IN04,13/3/2020,0:00,-1.23,13.88
IN04,14/3/2020,0:00,-1.18,14.02
IN04,15/3/2020,0:00,-1.17,13.13
IN04,16/3/2020,0:00,-1.17,12.09
IN04,17/3/2020,0:00,-1.18,12.52
IN04,18/3/2020,0:00,-1.41,12.75
IN04,19/3/2020,0:00,-1.56,13.03
IN04,20/3/2020,0:00,-1.79,10.97
IN04,21/3/2020,13:00,-1.99,0.05
IN04,23/3/2020,0:00,-1.93,10.22
